1.000,60.000,9.246
2.000,120.000,9.461
3.000,180.000,9.402
4.000,240.000,9.996
5.000,300.000,9.966
6.000,360.000,9.447
7.000,420.000,9.170
8.000,480.000,9.542
9.000,540.000,9.704
10.000,600.000,9.859
11.000,660.000,9.013
12.000,720.000,9.400
13.000,780.000,9.689
14.000,840.000,9.285
15.000,900.000,9.215
16.000,960.000,9.564
17.000,1020.000,9.865
18.000,1080.000,9.975
19.000,1140.000,9.845
20.000,1200.000,9.121
21.000,1260.000,9.019
22.000,1320.000,9.422
23.000,1380.000,9.457
24.000,1440.000,9.906
25.000,1500.000,9.485
26.000,1560.000,9.076
27.000,1620.000,9.551
28.000,1680.000,9.474
29.000,1740.000,9.819
30.000,1800.000,9.665
31.000,1860.000,9.855
32.000,1920.000,9.730
33.000,1980.000,9.868
34.000,2040.000,9.188
35.000,2100.000,9.134
36.000,2160.000,9.432
37.000,2220.000,9.702
38.000,2280.000,9.910
39.000,2340.000,9.298
40.000,2400.000,9.357
41.000,2460.000,9.627
42.000,2520.000,9.390
43.000,2580.000,9.589
44.000,2640.000,9.599
45.000,2700.000,9.126
46.000,2760.000,9.468
47.000,2820.000,9.651
48.000,2880.000,9.226
49.000,2940.000,9.602
50.000,3000.000,9.807
51.000,3060.000,9.193
52.000,3120.000,9.641
53.000,3180.000,9.993
54.000,3240.000,9.190
55.000,3300.000,9.089
56.000,3360.000,9.727
57.000,3420.000,9.424
58.000,3480.000,9.266
59.000,3540.000,9.884
60.000,3600.000,9.271
61.000,3660.000,9.458
62.000,3720.000,9.631
63.000,3780.000,9.492
64.000,3840.000,9.826
65.000,3900.000,9.908
66.000,3960.000,9.347
67.000,4020.000,9.843
68.000,4080.000,9.059
69.000,4140.000,9.617
70.000,4200.000,9.525
71.000,4260.000,9.918
72.000,4320.000,9.094
73.000,4380.000,9.038
74.000,4440.000,9.112
75.000,4500.000,9.062
76.000,4560.000,9.616
77.000,4620.000,9.773
78.000,4680.000,9.132
79.000,4740.000,9.815
80.000,4800.000,9.815
81.000,4860.000,9.681
82.000,4920.000,9.841
83.000,4980.000,9.367
84.000,5040.000,9.500
85.000,5100.000,9.201
86.000,5160.000,9.079
87.000,5220.000,9.412
88.000,5280.000,9.885
89.000,5340.000,9.492
90.000,5400.000,9.663
91.000,5460.000,9.905
92.000,5520.000,9.252
93.000,5580.000,9.790
94.000,5640.000,9.664
95.000,5700.000,9.331
96.000,5760.000,9.886
97.000,5820.000,9.613
98.000,5880.000,9.491
99.000,5940.000,9.763
100.000,6000.000,9.696
101.000,6060.000,9.042
102.000,6120.000,9.445
103.000,6180.000,9.415
104.000,6240.000,9.598
105.000,6300.000,9.529
106.000,6360.000,9.355
107.000,6420.000,9.651
108.000,6480.000,9.618
109.000,6540.000,9.391
110.000,6600.000,9.397
111.000,6660.000,9.441
112.000,6720.000,9.516
113.000,6780.000,9.607
114.000,6840.000,9.419
